Name,Address,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Description,Currency,Price Level,City,Country,State
SingleThread,"131 North St., Healdsburg, 95448, USA",Contemporary,-122.8697229,38.6122599,3 Stars,1,"Air conditioning,Interesting wine list,Wheelchair access","Here, in the bucolic loveliness at the heart of Sonoma Wine Country, sense of place combines exquisitely with the deeply personal vision of owners Chef Kyle Connaughton and head farmer Katina Connaughton. The nearby 24-acre farm provides much of the bounty prepared in the kitchen, and the couple’s time in Japan informs the restaurant’s ethos, from the kaiseki-influenced cuisine to the practice of omotenashi, a spirit of wholehearted hospitality. The menu begins, unforgettably, with a botanical landscape interspersed with impeccable first bites, serving to introduce the meal’s central themes: impeccable ingredients, precise, artistic presentation and pure, harmonious flavors. The expert use of the donabe (Japanese claypot) is a signature, transforming seafood and vegetables alike.",$,4,Healdsburg,USA,California
Benu,"22 Hawthorne St., San Francisco, 94105, USA",Asian,-122.3990601,37.7853763,3 Stars,0,"Air conditioning,Valet parking,Wheelchair access","Benu is an oasis in the center of the city. Patience seems to define this kitchen in its relentless pursuit of excellence, whether that may be perfecting technique or waiting for just the right moment to serve an ingredient at its peak. Meals begin with a series of highly technical small bites. While these delicacies alone may rival some of the country's most ambitious tasting menus, there's more. Faux-shark's fin and xiao long bao are a delightful classic, but Chef Corey Lee continues to reimagine and redefine his nightly offerings. Dishes like barbecued quail with house-made XO sauce and an elevated take on traditional Korean beef barbecue convey a distinct personality and reflect a singular marriage between contemporary Asian influences.",$,4,San Francisco,USA,California
The French Laundry,"6640 Washington St., Yountville, 94599, USA",Contemporary,-122.36474,38.40443,3 Stars,1,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Thomas Keller’s legendary destination still doesn’t miss a beat. In fact this may be known as the greatest cooking space in America, as every aspect is carefully determined—from the counter height to the flowing lines of the ceiling. Chef Keller continues to pair classic French techniques with wildly fresh ingredients in a setting that is a perfect storm of restaurant greatness—we should all be so lucky to score a reservation here.Dinner may bring signature oysters with white sturgeon caviar in a warm sabayon studded with tapioca pearls, or Pacific shima aji tartare composed with puffed grains and a vibrant tomato and jalapeño ""chiffon"". Wolf Ranch quail is then presented with white asparagus and dark cherries, while ""Coffee and Donuts"" is a perfect finish.",$,4,Yountville,USA,California
L'Atelier de Joël Robuchon Miami,"151 NE. 41st St., Miami, 33137, USA",French,-80.1921438,25.814444,2 Stars,0,"Air conditioning,Counter dining,Terrace","Miami has joined the ranks of Paris, New York and Tokyo with its own on-brand and elegant L'Atelier de Joël Robuchon. The Design District setting bears all the beloved hallmarks with a counter and open kitchen plus rosewood walls and leather chairs.The menu offers both tasting portions and large plates; but go with the seasonal prix fixe. The bread basket is a lovely opener, arriving in advance of such thrilling bites as seared scallops in a vibrant cilantro broth with coconut foam and a piece of crispy calamari. Wild caught halibut is topped with wasabi lime in a champagne emulsion, while artichokes housed underneath a glass dome in a chickpea and turmeric ""cappuccino"" are delightful. The aptly named le chocolat sensation is a thrill.",$,4,Miami,USA,Florida
Jônt,"1904 14th St. NW, Washington, 20009, USA",Contemporary,-77.0321498,38.9158847,2 Stars,0,"Air conditioning,Counter dining,Interesting wine list","Chef Ryan Ratino's ambitious counter is an experience like nothing else in the city. Sitting just above Bresca, the room is a constant hive of activity with sharp-suited servers gliding about and laser-focused chefs working in perfect tandem. From the cutlery to the cooking, expect beauty and boldness. Top-rate seafood and meat from Japan and beautiful sauces form the core of this menu. Think delicate tarts with wagyu tartare, grilled sawara with beet and pomegranate sauce, and a particularly striking king crab rice cooked in a donabe. Dessert is its own counter that ends with a treasure box of mignardises. All throughout, a high-energy playlist matches a high-performing team who want nothing more than for guests to enjoy themselves.",$,4,Washington,USA,District of Columbia
minibar,"855 E St. NW, Washington, 20004, USA",Contemporary,-77.02386,38.896294,2 Stars,0,"Air conditioning,Counter dining,Interesting wine list,Valet parking,Wheelchair access","A single door, with a host to match, marks the entrance to this culinary oasis that goes far beyond its tiny name. The lounge is ideal for a glass of champagne, after which guests can settle at the counter built around the chefs' stainless steel workspace that makes their world a stage. The team is passionate, skilled and full of technical expertise, creating a menu that is bursting with whimsy. ""Ramen en papillote"" shows just how much fun they are having, but look to the chalkboard for specialties like soy chicharrón with wakasabi (guacamole with wasabi) or wagyu with caviar pearls and sunflower petals. Desserts like a fried hojicha donut and a cherry pie on miso sablé make for an unorthodox finish.",$,4,Washington,USA,District of Columbia
Pineapple and Pearls,"715 8th St. SE, Washington, 20003, USA",Contemporary,-76.99514,38.880707,2 Stars,0,"Air conditioning,Counter dining,Interesting wine list,Wheelchair access","With oversized Champagne bottles, velvet dinner jackets, and balloons galore, Chef Aaron Silverman’s restaurant is inspired by the Studio 54 nightclub. The upbeat mood rings closer to a New Year’s Eve party, and guests are encouraged to dress to impress. Dinner is a noticeably condensed affair, punctuated with potent surprises like tableside absinthe cocktails and truffle-infused amaretto warmed over candlelight. Everything comes with a story, and the approachable staff is happy to tell these tales. The equally friendly sommelier is always at the ready with terrific suggestions to pair with dishes like marinated tuna with compressed watermelon and the feather-light gnocchi with rich parmesan cream.",$,4,Washington,USA,District of Columbia
odo,"17 W. 20th St., New York, 10011, USA",Japanese,-73.9929904,40.7407048,2 Stars,0,"Air conditioning,Counter dining,Terrace","A serene atmosphere awaits in-the-know diners at this secluded counter, closed off from the cocktail bar in front to foster a mood of intimacy. The service, like the ambience, is warm but unobtrusive, allowing focus to fall on the singular kaiseki menu on offer. Under the assured hand of namesake Chef Hiroki Odo, the cuisine skillfully blends tradition and creative personal touches for a meal that is anything but stuffy. Flavors are both vibrant and precise, with a depth and purity that attests to superbly sourced ingredients and careful preparation. From a savory broth with impeccably cooked tilefish, lifted with locally grown yuzu, to springy house-made soba noodles with indulgently rich salmon roe, this is cooking that will linger in the memory.",$,4,New York,USA,New York
Blue Hill at Stone Barns,"630 Bedford Rd., Tarrytown, 10591, USA",American,-73.8292966,41.1007146,2 Stars,1,"Air conditioning,Car park,Garden or park,Interesting wine list,Valet parking,Wheelchair access","The passion of Chef Dan Barber is at the core of everything here, where a meal is a true experience that uniquely knits together his vision of improving our foodways, the grit of utilizing the land to provide sustenance, and luxurious touches like crisped linens and fine crystal.A procession of dramatically presented, farm-fresh seasonal produce kicks off the meal and may include freshly plucked radishes with browned butter, Hakurei turnips dressed with poppy seeds, and morsels of dried honeypatch squash. While the focus is plant-based, heartier compositions may reveal roasted, retired dairy cow plated with root-to-leaf celeriac. The meal may end celebrating how this operation began; as a dairy, with a tower of milk crumbs, milk jam, panna cotta and ice cream to dress poached quince.",$,4,Tarrytown,USA,New York
Saga,"70 Pine St., New York, 10005, USA",Contemporary,-74.0078519,40.706144,2 Stars,0,"Air conditioning,Great view,Interesting wine list","Saga is the crown of 70 Pine Street, a landmark tower that rises over 60 stories. The space is unique and features an open-air balcony where an aperitif can be enjoyed alongside the stunning views. The elegant dining rooms are set with furnishings upholstered in peach and emerald velvet, green marble tables and carved stone accents.Chef James Kent never allows his cuisine to be overshadowed by the setting, however. Along with his talented team, he presents diners with compositions that embrace luxury and urbane inspiration. Caviar and foie gras are on tap, as is seafood with laksa sauce or a dry-aged duck influenced by the chef's Moroccan background that comes complete with griddled flatbread, whipped yogurt flavored with preserved lemon, carrot hummus and harissa.",$,4,New York,USA,New York
The Modern,"9 W. 53rd St., New York, 10019, USA",Contemporary,-73.97628,40.76106,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access","The Modern is designed to capture the iconic feel of the MoMA in which it is housed. Art enthusiasts can't help ogling at its glorious surrounds; while excellent acoustics facilitating quiet conversations ensure a steady stream of couples and globe-trotters. The kitchen is state of the art, so for a truly special experience book the chef's table inside. The staff perform a veritable ballet as they present diners with such appealingly nuanced dishes as a seed cracker with aged cheddar and butternut squash butter; or eggs on eggs, starring none other than soft-boiled eggs with sturgeon caviar. Turbot roasted on the bone may then arrive alongside rich parmesan cream.Nurse a digestif—and marvel at the timeless sculpture garden view —for serenity embodied.",$,4,New York,USA,New York
Sushi Noz,"181 E. 78th St., New York, 10075, USA",Japanese,-73.958275,40.77384,2 Stars,0,"Air conditioning,Notable sake list","There is a certain energy that courses through this sacred space, where every detail recreates an intimate Japanese refuge. Some of the tools alone are marvels, and Chef Nozomu Abe is a meticulous and engaging craftsman. When booking, keep an eye out for his dates and time slots.  Commence with cooked dishes like pearly sea perch with fresh ponzu dipping sauce and slender pieces of meltingly tender ice fish. Miso soup is the perfect backdrop for silky-soft eel “noodles” with salted egg yolk cream and crispy tofu pieces, while sushi is jewel-like. True to Japanese hospitality, kimono-dressed staff and the chef himself see guests off with a spirit of gratitude.",$,4,New York,USA,New York
Atomix,"104 E. 30th St., New York, 10016, USA",Korean,-73.9826751,40.7443058,2 Stars,0,"Air conditioning,Counter dining,Interesting wine list","Atomix is one of Manhattan's most desired dining rooms. Secreted away in a Murray Hill brownstone, the room unfolds into a chic bar and a subterranean dining counter sporting dark stone, soothing earth tones and views of the kitchen's inner works.Chef Junghyun Park and his wife Ellia head a team that continues to push the boundaries of modern Korean cooking.  Dishes are delicate, yet satisfying and display extraordinary finesse. Mastery of technique and depth of flavor are seen in the likes of three-day salt-and-nuruk-cured kohlrabi, and rich Japanese butterfish dabbed with XO sauce and served in a froth of white kimchi sauce. The finale perfectly suits the meal, as in rice ice cream set atop Japanese castella and dressed with malted barley syrup and crushed honeycomb candy.",$,4,New York,USA,New York
Daniel,"60 E. 65th St., New York, 10065, USA",French,-73.9675039,40.7667521,2 Stars,0,"Interesting wine list,Terrace","When times call for a celebratory feel, there will always be Daniel. In honor of its three decade-long reign, this iconic Manhattan dining room has a refreshed look with artwork by American James Rosenquist that complements the coffered ceilings and signature Bernardaud porcelain chandeliers.Executive Chef Eddy Leroux skillfully executes the four-course seasonal prix-fixe or multicourse tasting menus. East coast crab duo, pairing a tempura soft-shell crab with peekytoe crab meat, and frog legs fricassé with mushrooms and puff pastry, are just two standout dishes. Desserts are works of art, as in the Champagne mango baba, with a mango brandy-moistened sponge cake, green peppercorn custard and peaks of vanilla chantilly. The wine list has an impressive collection of French wines.",$,4,New York,USA,New York
Gabriel Kreuther,"41 W. 42nd St., New York, 10036, USA",Contemporary,-73.982025,40.75397,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access","Distinctively housed at the base of the Grace building, this modern dining room happens to be perfect for celebrating special occasions. Dishes reflect global sensibilities with a strong creative edge, as in the langoustine tartare topped with a crispy tuile and enriched with cauliflower cream. Foie gras arrives in myriad guises, perhaps as a seared lobe as rich as custard, surrounded by roasted quince, chestnuts and vanilla gastrique. Old-school luxuries extend right through to the cheese trolley. The cocktail list is dedicated to the history of Bryant Park across the street, while as an homage to the eponymous chef’s Alsatian heritage, the wine selection prominently features rieslings, pinot blancs and gewürztraminers.",$,4,New York,USA,New York
Jean-Georges,"1 Central Park West, New York, 10023, USA",Contemporary,-73.98155,40.76907,2 Stars,0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","The longevity of Chef Jean-Georges Vongerichten’s flagship is due to many factors—a sumptuous setting, a discreet aura and superior French cuisine. Dishes showcase everything from attention to detail and impeccable products to thoughtful garnishes and nuanced flavors. The omnivore menu is appealingly versatile thanks to contemporary accents and classic techniques. A supple day-boat scallop over crispy ""sushi"" rice a light opener, while roasted cauliflower tea is delicate, warm and frothy with a pop of citrus from Santa Teresa lemons. Smoked potato pierogi has an earthy flavor, and a generous dollop of caviar ups the luxe quotient. From sea bass to venison loin, main dishes are satisfying, but the desserts are dazzling works of art and are an elegant conclusion to a sophisticated meal.",$,4,New York,USA,New York
Atera,"77 Worth St., New York, 10013, USA",Contemporary,-74.0055912,40.7168498,2 Stars,0,"Air conditioning,Counter dining,Interesting wine list","Counter dining can sometimes be a cramped affair, but fortunately, this one is spacious enough to leave plenty of elbow room, allowing guests to enjoy the immersive experience in comfort. The kitchen, led by Danish chef Ronny Emborg, runs with a quiet tranquility that forms a sharp contrast to the boisterous playlist, which helps keep the room from feeling stuffy. The menu comprises numerous beguiling courses with global accents, featuring subtle flavors and deftly weaving together both delicacy and richness. A dish of minute, briny shigoku oysters strikes an intriguing balance between vegetal and fruit notes when matched with kiwi and cucumber, while a perfectly cooked morsel of halibut is bolstered with an impeccable buttery shrimp bisque.",$,4,New York,USA,New York
Aska,"47 S. 5th St., New York, 11249, USA",Scandinavian,-73.9669769,40.7125069,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access","Eating here is serious business, but happily the place isn’t blighted by a monastic atmosphere—a contented buzz fills the room, helped along by the chefs who deliver the dishes themselves.Chef Fredrik Berselius and his ace team delight diners with their highly accomplished Nordic cuisine. Local products are woven into the seasonal tasting, and items like prawn shells and venison bones are transformed into luscious sauces that enhance each plating. Creme royale with claw of lobster, trout roe and essence of elderflower is a dish to dream about, while venison from New York is perfectly minimalist with morel mushroom, wild leek and a delicate jus.",$,4,New York,USA,New York
Aquavit,"65 E. 55th St., New York, 10022, USA",Scandinavian,-73.97214,40.76078,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access","No detail goes unnoticed at this contemporary Swedish beauty, sporting a sleek bar and open kitchen with Chef Emma Bengtsson at the helm. Enjoy the eponymous infused spirit along with bites from one of two dinner tasting menus. Expect glazed earthenware, slate platters and wooden boxes cradling the likes of a medallion of North Sea cod, torched ever so slightly, and accompanied by a light-textured mussel foam and petite wedges of roasted red endive. Lean and tender duck breast sided by a petite block of compressed leg meat is dressed tableside with a beet sauce enriched with duck jus. The meal may end with a composition of green apple and fennel featuring rye cake, apple ice, bitter caramel and whipped, smoked crème fraîche.",$,4,New York,USA,New York
Jungsik,"2 Harrison St., New York, 10013, USA",Korean,-74.00911,40.718685,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access","Jungsik's ""New Korean"" cuisine leans westwards. Indeed, some of this kitchen's wonderful sauces wouldn’t be out of place at a grand French table, but what is most impressive here is that the Korean elements of the dishes seem to raise them to another level. Bibimbap composed with gochujang, crispy quinoa and tender Wagyu beef tartare will live long in the memory; while the branzino served simply with white kimchi shows that this is also a kitchen with the utmost confidence in the quality of its ingredients.This is cooking that is original, impeccably executed and enormously satisfying. It’s the sort of food that makes you involuntarily nod to yourself while you’re eating. The space is cool, crisp and elegant; the service team sharp, keen and organized.",$,4,New York,USA,New York
Oriole,"661 W. Walnut St., Chicago, 60661, USA",Contemporary,-87.6453022,41.8862095,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access","Oriole is as graceful and luxurious as ever, with a bespoke elegance evidenced by imposing ceilings and an impressive bar. The beautifully appointed kitchen is in full view.Chef Noah Sandoval and team are deeply committed to and passionate about their unbridled creations. Your meal may start with an aperitif and bites, like raw hiramasa in apple broth. New Zealand langoustine is elevated to luscious heights thanks to tapioca, melon, and a warm coconut broth; while sablefish nestled into koshihikari rice is enhanced tableside with amazake.",$,4,Chicago,USA,Illinois
Moody Tongue,"2515 S. Wabash Ave., Chicago, 60616, USA",Contemporary,-87.6252282,41.8469648,2 Stars,0,"Air conditioning,Wheelchair access","Chef Jared Wentworth and Brewmaster, Jared Rouben, have envisioned a unique showcase, whereby a hyper-seasonal and creative menu is brilliantly matched with a virtuosic array of house-crafted brews. Discreetly perched atop the working brewery, this is a contemporary if at times austere dining room. Unsurprisingly, the word ""moody"" befits the intimate yet masculine vibe.Beverages are an equal partner to the food and even woven into the fabric of the elevated cuisine. Indulge in such innovative creations as gently poached Maine lobster in spiced tomato water, followed by seared Hudson Valley foie gras with burnt peach dashi. A dark chocolate cake with toasted rye ice cream will lift your spirits and have you returning for more—perhaps as soon as tomorrow.",$,4,Chicago,USA,Illinois
Ever,"1340 W. Fulton Street, Chicago, 60607, USA",Creative,-87.6604258,41.8868389,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access","This stylish, gray-hued room, set off the beaten path in Fulton Market, has a peaceful and meditative mood. Fitted out with velvet-smooth leather seats and plush carpeting, there is an inviting sense of intimacy and diners are all the more ecstatic for it. The meal is first and foremost a visual thrill: inventive presentations that entice at every turn.A penchant for sweet and herbaceous notes winds through each elegant composition, like green apple and nasturtium with a frozen celery root cream that balances briny flavors with earthiness. You'll also find notes of whimsy, evidenced by sweet bay scallops, presented under a sugar shell. Speaking of, desserts show substance and subtlety, like a combination of stout, sweet potato, and chocolate.",$,4,Chicago,USA,Illinois
Hayato,"1320 E. 7th St., Ste. 126, Los Angeles, 90021, USA",Japanese,-118.2418788,34.0338072,2 Stars,0,"Air conditioning,Car park,Counter dining,Notable sake list","With only one seating per night, this is the kind of destination where a handful of lucky diners are privy to an exemplary culinary spectacle. Many of the courses begin with ingredients that are attractively arranged, then finished before your eyes, and presented by Chef Brandon Hayato Go with detailed explanations. To kick off the kaiseki, the chef serves a small bite, or sakizuke, like chilled, charred eggplant with ginger and dashi. From there, it's a seasonal celebration artistically arranged on vintage Japanese pottery and porcelain collected by the chef. Local corn and sea scallops is transformed into kakiage; bonito is lightly smoked over rice bran straw; and miso-glazed black cod is folded into a luscious rice pot to conclude the meal.",$,4,Los Angeles,USA,California
Commis,"3859 Piedmont Ave., Oakland, 94611, USA",Contemporary,-122.254846,37.8246825,2 Stars,0,"Air conditioning,Counter dining,Wheelchair access","This serene elder from Chef/owner James Syhabout is packed every night. Tucked into colorful Piedmont Avenue, the space is long and neat, while soft music and a vibrant staff set the mood. It's cool and relaxed but never casual.Chef Syhabout pairs local ingredients with precise technique; he also pulls from his Thai and Chinese heritage to deliver an elegant menu full of familiar flavors that taste as wonderful as they look. Dinner might unveil slices of raw Japanese sea bream dressed with aged soy sauce, fermented plum, and mustard. That signature slow-poached egg yolk sitting in a bed of onion- and malt-infused cream is a consistent thrill; while donabe-baked scallion rice is topped with chanterelles dressed with miso from a small-batch, local producer.",$,4,Oakland,USA,California
n/naka,"3455 S. Overland Ave., Los Angeles, 90034, USA",Japanese,-118.41206,34.02526,2 Stars,0,"Air conditioning,Notable sake list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","Wrapped in neutral tones, this serenely understated room offers one of LA’s most warm and graceful dining experiences. Chef Niki Nakayama presents her interpretation of a modern Kaiseki meal, drawing upon Japanese tradition while at the same time following her own path, offering an intricate procession of seasonally inspired courses that show a uniquely Californian influence. The menu begins with a sip of house-infused sake and small bites, winding through delicate aromatic broths, sashimi courses and heartier fare like grilled fish accented with sansho pepper. The only dish to never leave the menu, an artful twirl of al dente spaghetti dressed with tender abalone, pickled cod roe and black truffle, exemplifies Chef Nakayama’s unconventional approach.",$,4,Los Angeles,USA,California
Acquerello,"1722 Sacramento St., San Francisco, 94109, USA",Italian,-122.42131,37.79167,2 Stars,0,"Air conditioning,Interesting wine list","With its signature A-frame ceiling and luxuriously warm furnishings, this dining room has been Chef Suzette Gresham’s home since 1989. The cooking remains top rate, promising finesse and bold flavors in equal measure. Handmade pastas combine classic technique with a touch of personal style, and mimicking the art on the walls, some dishes like carrot and ginger terrine or the must-order cheese plate arrive as visual masterpieces. Sweets are a notable strength, down to the very last few bites when one of the best mignardises carts in town rolls up stacked with chocolates, pâtes de fruits, and caramels rolls. Speaking of bests, friendly sommeliers are essential guides for navigating one of the deepest Italian wine and Champagne cellars in the country.",$,4,San Francisco,USA,California
Providence,"5955 Melrose Ave., Hollywood, 90038, USA",Seafood,-118.3301829,34.083576,2 Stars,1,"Air conditioning,Valet parking,Wheelchair access","Purity and precision are the underpinnings of Chef Michael Cimarusti's California cooking, inspired by flavors from Asia and the Mediterranean. The tasting menu blends classic technique with a modern sensibility, and sources the freshest and most sustainable seafood, often wild-caught from American waters. At no point during the meal will you doubt its impeccable quality, especially while savoring dishes such as seared Alaskan halibut with green beans and geoduck in a bouillabaisse sauce, or the hiramasa sashimi, plated in the shape of a flower, and treated to a tableside pour of basil-infused fumet sauce. The soft-poached egg topped with Santa Barbara uni, breadcrumbs, and Champagne sauce is a Providence signature.",$,4,Hollywood,USA,California
